PC1,PC2,Segment
-1.7111635759477133,-1.4014628033012875,Budget-Regular
2.5327304594049544,-1.9331398804366253,Delivery-Disappointed
0.9390385961704661,1.5491749216499178,Silent-Premium
-0.975584854100889,0.9540569585171348,Budget-Regular
0.2748239844908984,1.326069537468349,Silent-Premium
-2.8642374900863663,-0.38076177532754973,Budget-Regular
-0.050380306563038345,-0.3719899138041043,Engaged-Premium
0.3666003558810618,0.31106344247480067,Engaged-Premium
1.0561260742173177,0.09094847222593794,Engaged-Premium
-2.1624971635379775,-1.3761015795717495,Budget-Regular
-0.40908762159690154,0.3913514283789736,Engaged-Premium
-1.994850483130452,-0.45678778040972523,Budget-Regular
-0.8842347928012821,1.292536929968379,Silent-Premium
-0.7689729631476488,0.7513862619525903,Silent-Premium
1.1639670791846959,0.49452569969158244,Bulk-Buyer
-0.03136583852760244,-0.05033066033421578,Engaged-Premium
3.7532575084125903,1.1012381675412486,Bulk-Buyer
-0.5519090957048707,-0.2093640198019289,Budget-Regular
1.1905526310118903,-1.5714776190080308,Delivery-Disappointed
-1.9003244914401776,-3.589257156744959,Delivery-Disappointed
-1.1432257789398506,0.07305014783201796,Budget-Regular
2.7676759407809364,1.0629675710808852,Bulk-Buyer
-0.006588072139168564,-0.6378451662576683,Engaged-Premium
-0.5960195365358927,1.02441478048251,Silent-Premium
2.1086019684053916,-2.0277379601748065,Bulk-Buyer
0.5974073442258944,-0.8421146708191725,Engaged-Premium
-0.39661806173124076,-0.2138926444000416,Silent-Premium
1.8156246106659675,0.2705044978010891,Bulk-Buyer
-0.7295984189563094,-0.7227522086592717,Engaged-Premium
-0.3097274118470811,-0.20139542729494234,Bulk-Buyer
0.32887612851466685,1.883979268971858,Silent-Premium
2.6962231291154355,2.026987550026917,Silent-Premium
-2.5496395487529457,0.44708478053690875,Budget-Regular
2.4337402984306222,-2.3276526916530744,Bulk-Buyer
2.0586454097879945,0.3061348521813352,Silent-Premium
-0.616349525006446,1.349390867150687,Silent-Premium
0.917151011228182,2.3688618047421013,Silent-Premium
0.2547872697221627,0.2476509088530497,Engaged-Premium
-2.468368353800274,-1.3724982487188897,Budget-Regular
-0.29544137353998084,0.6086159289386933,Silent-Premium
-0.29902527042056914,1.198109627027555,Silent-Premium
-0.26846334243436343,1.152000509977248,Silent-Premium
0.0035690117396750495,0.007142560171391955,Silent-Premium
2.537261213654513,0.5940887945952908,Silent-Premium
2.188602851300286,-2.2040613521463692,Delivery-Disappointed
-3.2744477297411505,-0.3438042614919702,Budget-Regular
0.3653289967783062,-1.6115523837129493,Delivery-Disappointed
-0.5380576214742266,0.9994085857720602,Silent-Premium
-0.08085469412673572,1.229076991688841,Silent-Premium
-0.8206566049275639,-0.8004461323260559,Engaged-Premium
-0.14036636637941916,0.729231987013373,Silent-Premium
-3.3218761504592758,-0.9539109690410863,Budget-Regular
0.34581828284330246,0.5247282434543035,Silent-Premium
-0.7792566324898764,0.02425128495494657,Budget-Regular
0.0497401564693458,-3.829505559024283,Delivery-Disappointed
-0.061074181637179856,1.6311797261312244,Silent-Premium
0.32148993882713256,-0.46957790853934156,Silent-Premium
1.447942880025082,1.4862956797280047,Silent-Premium
0.5949774787145602,1.376485049806587,Silent-Premium
1.9555681009028751,-0.39872709586108396,Delivery-Disappointed
-2.144730283732861,0.00607661117840886,Budget-Regular
0.7446483903901124,0.3394048834017696,Silent-Premium
3.3232377262945625,0.038416323029999755,Engaged-Premium
-0.12125340872764515,-0.9272295133319843,Delivery-Disappointed
0.21328033475893227,0.08457529588387679,Engaged-Premium
1.3158983816720542,0.6468569243773378,Engaged-Premium
-0.5220375632807932,1.1372781485721908,Silent-Premium
-1.314256609367915,-1.0611957932472948,Budget-Regular
1.0213476573394489,0.43879038427343764,Engaged-Premium
-2.4280901021886336,-1.4784673789256588,Budget-Regular
-1.9179690345324039,0.8016261532905389,Budget-Regular
0.7985229280970396,0.5852732220300793,Bulk-Buyer
-3.3622207849475028,-1.3084285214766813,Budget-Regular
0.5786178818551032,0.12428473242649057,Engaged-Premium
0.6612370538482628,-0.12881247904768453,Engaged-Premium
-0.2088538043059962,1.628384818419185,Silent-Premium
0.9557672694836061,2.2674307879885545,Silent-Premium
-1.9961188777178778,-1.28807567220476,Budget-Regular
0.21643384987944897,0.04623121593908347,Silent-Premium
-0.9528295531880272,-0.6334859678525298,Engaged-Premium
-0.05134227252821111,1.2346010119399222,Silent-Premium
0.9534692557781286,0.561964185134172,Silent-Premium
-1.9547165424987587,-0.4453851780085659,Budget-Regular
-2.9298940313472186,-0.26429727424259297,Budget-Regular
2.110995179189803,-2.5085435607094504,Delivery-Disappointed
-2.43507149232664,0.08989567975352067,Budget-Regular
0.2371480020592147,-0.28913047144437726,Engaged-Premium
1.1588971901580838,0.3887571919128667,Engaged-Premium
-1.4299803492983996,0.1519448336642359,Budget-Regular
3.1711884823560936,0.5403053984505203,Engaged-Premium
0.11823341098367594,1.5733119257769947,Silent-Premium
-1.7247256183673059,0.2105175069457644,Budget-Regular
-0.9135767907336596,-0.8010197630324019,Engaged-Premium
0.45972215738112465,0.2069479297765894,Engaged-Premium
-1.1263833706226398,-0.0634140135802039,Budget-Regular
0.5916064834011259,-0.7767853069351449,Engaged-Premium
0.4407900621069292,-3.5643192870783014,Delivery-Disappointed
-0.7796679048927744,-0.518403502613713,Engaged-Premium
-0.6921786298644298,0.2006295907231838,Silent-Premium
