lat,lng,Segment,customer_city
-29.44011815417685,-51.95466228704692,Silent-Premium,lajeado
-29.84927429226213,-51.15430634252267,Silent-Premium,esteio
-22.930452979874794,-47.035929675986,Silent-Premium,campinas
-23.014294742166268,-43.46413167283893,Silent-Premium,rio de janeiro
-20.031993188803344,-50.727482412172,Silent-Premium,santa albertina
-25.41393320342038,-49.3130649124783,Silent-Premium,curitiba
-23.63204026824975,-46.70299880398464,Silent-Premium,sao paulo
-23.685158005382213,-46.65799433276703,Silent-Premium,sao paulo
-21.181012061890485,-47.78952007431185,Silent-Premium,ribeirao preto
-23.97221168082404,-46.314586513330205,Silent-Premium,santos
-19.89003978212821,-43.99905876090082,Silent-Premium,belo horizonte
-27.60542121440934,-48.47002116127125,Silent-Premium,florianopolis
-22.944152786057888,-43.03479115358205,Silent-Premium,niteroi
-23.563198677813347,-46.5666503456664,Silent-Premium,sao paulo
-22.9051345444933,-47.09697306272721,Silent-Premium,campinas
-20.664291155105545,-40.50641609707141,Silent-Premium,guarapari
-19.87874816625308,-43.9310537134284,Silent-Premium,belo horizonte
-23.632770887039054,-46.554292980019014,Silent-Premium,sao caetano do sul
-23.691027058051727,-46.504557561076766,Silent-Premium,santo andre
-29.604057434931395,-51.16367994367905,Silent-Premium,ivoti
-22.69515790939998,-46.987014376493164,Silent-Premium,monte alegre do sul
-19.97551649235395,-43.971936358914604,Silent-Premium,belo horizonte
-5.112587778573852,-36.63321115967305,Silent-Premium,macau
-29.89894481127012,-51.16366879649095,Silent-Premium,canoas
-19.629852923974376,-43.22384359497725,Silent-Premium,itabira
-23.534107155433045,-46.56154451304173,Silent-Premium,sao paulo
-23.485233363033053,-46.75574245671983,Silent-Premium,sao paulo
-16.08430018401359,-48.50717951851378,Silent-Premium,alexania
-23.495815445467105,-46.68836539410818,Silent-Premium,sao paulo
-28.68830647062041,-49.38670203027518,Silent-Premium,criciuma
-27.60542121440934,-48.47002116127125,Silent-Premium,florianopolis
-22.740517490717608,-46.8958585777586,Silent-Premium,pedreira
-23.186380013590007,-46.88651921120668,Silent-Premium,jundiai
-21.680280267709847,-45.92160843709808,Silent-Premium,machado
-9.973390456997782,-67.84030356272721,Silent-Premium,rio branco
